id,x,y,class,text,Rock,Metal,Pop,Disco,HipHop,Classical,Jazz,Blues,Reggae,Country
0,8.141051,-10.966179,Reggae,A mashup of contemporary pop and rap songs featuring female vocals and male rapping over EDM music. A great dance party mix.,0,0,0,0,0,0,0,0,1,0
1,-48.500996,10.2007,Country,"Rock n roll 80's music ideal for concert accompanied by male vocal,guitar,drum and bass.",0,0,0,0,0,0,0,0,0,1
2,3.834379,34.144093,Reggae,Afro-style song with a peppy beat played with indigenous percussions. Has a carnival kind of feel to it.,0,0,0,0,0,0,0,0,1,0
3,-51.362507,-11.7893505,Rock,"Uplifting rock song with a firm male vocal, electric guitar arpeggios, bass and synth layers. Evokes a sense of nostalgia.",1,0,0,0,0,0,0,0,0,0
4,-48.37078,5.9300895,Country,"Rock song with hardcore drumming, jivey guitar riffs and hollow chorus vocals. Somewhat has Christmassy vibes.",0,0,0,0,0,0,0,0,0,1
5,7.8895493,7.751268,Disco,EDM rave party music with catchy electro beat and energetic female vocal.,0,0,0,1,0,0,0,0,0,0
6,-55.741425,11.66394,Rock,"Alternative rock with male lead vocal, accompanied by electric guitar, and acoustic drums. Creates a mood of live concerts.",1,0,0,0,0,0,0,0,0,0
7,36.30893,-6.130083,HipHop,Mid-tempo hip-hop track with male rapping over trap beats and heavy synth layers.,0,0,0,0,1,0,0,0,0,0
8,-24.699986,13.1528635,Country,"Indie pop track with male vocals, backing acoustic guitar rhythm, drums and bass that expresses such emotional side of it.",0,0,0,0,0,0,0,0,0,1
9,50.92968,-22.211672,HipHop,RnB rap single featuring a male rapper with a female vocal backing layer and groovy flat beats to give out a whole relaxed vibe.,0,0,0,0,1,0,0,0,0,0
10,27.578688,-8.6906,Pop,"A haunting hip-hop track with muddy male raping over an ambient pad, synth bass and church bell sounds.",0,0,1,0,0,0,0,0,0,0
11,-18.69016,5.7742214,Reggae,"A soft track with a lovely female vocal, melodious synth and light drums making the track soothing.",0,0,0,0,0,0,0,0,1,0
12,43.359734,-22.368444,Reggae,"Track made of electronic dubstep music, with layers of male vocals and pulsing bass drops.",0,0,0,0,0,0,0,0,1,0
13,13.249818,24.883938,Disco,"Dj party music with charming lady vocal, drum and techno synth tone.",0,0,0,1,0,0,0,0,0,0
14,32.942917,-20.201046,HipHop,Lo fi music with chill hip hop drum groove and laid back male vocal.,0,0,0,0,1,0,0,0,0,0
15,33.61491,16.616987,Reggae,Hip-hop track that is powerful and upbeat with a male rap voice over bass thumps and synth layers. The song has an overall violent and aggressive vibe.,0,0,0,0,0,0,0,0,1,0
16,36.00689,25.13039,Reggae,Electronic pop music with vocal layering and perfect for a party mood.,0,0,0,0,0,0,0,0,1,0
17,-12.155547,32.45332,Reggae,Afro beats and an intriguing male vocalist add zest to this traditional reggae track.   Has a Bob Marley-like sound.,0,0,0,0,0,0,0,0,1,0
18,-32.1202,8.5706835,Reggae,Gentle foreign jazz item with soothing male vocals and distinct guitar plucking.,0,0,0,0,0,0,0,0,1,0
19,18.320427,-10.375344,Reggae,"A pop song with modulated male vocals, electronic sounds and synth layers.",0,0,0,0,0,0,0,0,1,0
20,45.21667,20.97143,HipHop,"Hip-hop track with male vocals, electronic bass, drums and synth. Great for dancing.",0,0,0,0,1,0,0,0,0,0
21,52.93798,20.196728,HipHop,Hip-hop music with lead male rap vocals in a foreign language with synth and electronic drums and bass. Has a groovy rhythm which gives a dancing vibe.,0,0,0,0,1,0,0,0,0,0
22,-38.430805,-6.4289007,Country,"A very heartfelt alternative rock track where the male artist is singing his heart out to synth guitar effect, bass and drums.",0,0,0,0,0,0,0,0,0,1
23,28.227125,20.525597,Reggae,Arabic hip-hop track with aggressive male rapping over heavy trap beats and synth pad layers.,0,0,0,0,0,0,0,0,1,0
24,6.4203544,11.734298,Pop,Dance-pop with female vocals and synth bass and drums that sets the vibe perfectly for a nightclub.,0,0,1,0,0,0,0,0,0,0
25,-23.388153,-7.530776,Pop,Emotional pop song with deep bass guitar layers and wholesome drumming featuring a sentimental female lead voice.,0,0,1,0,0,0,0,0,0,0
26,51.28619,10.960268,Metal,"A classical mix of traditional Mexican instruments, deep trap beats and bass with male rap.",0,1,0,0,0,0,0,0,0,0
27,18.624182,-21.607141,Pop,Instrumental track with only a couple of straight note pad fillers. Sounds like a film's background score.,0,0,1,0,0,0,0,0,0,0
28,13.107984,15.308221,Disco,Extreme dubstep track with scattered male speech over hardcore bass drops and synth pad layers. A perfect rave party song.,0,0,0,1,0,0,0,0,0,0
29,2.7882056,-30.389982,Pop,"Rave party edm music with synth lead tone, bass and drums.",0,0,1,0,0,0,0,0,0,0
30,-0.3152399,11.384417,Disco,"Electro EDM track with a quirky female artist, some synth loops and rapid bass line. Great for house parties.",0,0,0,1,0,0,0,0,0,0
31,1.0888081,37.306133,Reggae,Peppy afro beats and chorus monotonous female vocals over groovy beats played on traditional percussions.,0,0,0,0,0,0,0,0,1,0
32,-43.500942,6.177163,Reggae,"Pop rock track with male lead vocals, distorted guitar riffs and drum beats. The track sounds soothing.",0,0,0,0,0,0,0,0,1,0
33,44.986435,-17.501768,HipHop,"Hip-hop rap track accompanied by both male and female vocal, with rhythmic electronic beats. Ideal for freestyling.",0,0,0,0,1,0,0,0,0,0
34,57.872524,4.674373,HipHop,High-energy hip-hop track with a rapping male voice over thumping bass and synth layers.,0,0,0,0,1,0,0,0,0,0
35,39.143623,-8.560195,HipHop,Hip-hop track with low-tempo synth lines and loop vocals. Great for action movie sequence.,0,0,0,0,1,0,0,0,0,0
36,19.888792,26.919445,Pop,Dance-pop with multuple male vocals and synth layers best for commercials.,0,0,1,0,0,0,0,0,0,0
37,0.46045604,32.146538,Reggae,Dance-pop with male vocals and synth layers that sets up the vibe perfectly for a nightclub.,0,0,0,0,0,0,0,0,1,0
38,-1.4913341,-4.7791977,Pop,"Positive feeling pop music with catchy female vocal, drum and synth sound.",0,0,1,0,0,0,0,0,0,0
39,-3.1849587,27.488285,Country,A classical folk instrumental that sounds tropical and jazzy at the same time with saxophone and drum snare beats.,0,0,0,0,0,0,0,0,0,1
40,0.4230283,34.011665,Reggae,"RnB Jamaican music with afro style vocals, indigenous percussions, bass and synth pads.",0,0,0,0,0,0,0,0,1,0
41,-13.905018,-12.696549,Reggae,"Spirited pop number featuring a male vocal, various synth layers and fast beats. The track feels groovy.",0,0,0,0,0,0,0,0,1,0
42,-42.202538,-21.189243,Rock,Instrumental rock track with a Latin style acoustic guitar solo over an energetic drum and bass backing track.,1,0,0,0,0,0,0,0,0,0
43,26.789906,19.589497,Reggae,"Rap song featuring strong electronic beats, numerous synth layers, and male vocals. Creates the right atmosphere for a party.",0,0,0,0,0,0,0,0,1,0
44,-14.183056,-12.483033,Rock,"Rapid and unrefined compilations of vocals and sounds with rock guitar, female vocalization and rapid drums and bass line.",1,0,0,0,0,0,0,0,0,0
45,38.854553,12.437254,HipHop,Grunge music with male rappers and mechanical synth layers and trap beats.,0,0,0,0,1,0,0,0,0,0
46,7.933789,13.441532,Disco,"High energy dubstep club music with synth sound effects, synth bass and thumbing beats. Party song at its best.",0,0,0,1,0,0,0,0,0,0
47,34.265873,-8.7186985,HipHop,An EDM hip-hop track that is a dance party essential featuring a telephonic male rapper over trap beats.,0,0,0,0,1,0,0,0,0,0
48,-7.9405212,16.198706,Pop,Energetic retro pop music with gorgeous female vocal and synth.,0,0,1,0,0,0,0,0,0,0
49,-25.116966,7.647554,Reggae,"Alternative/Indie song with fresh male vocals, Rock 'n' Roll guitar riffs, bass and tight drums.",0,0,0,0,0,0,0,0,1,0
50,-38.207474,12.773279,Country,Energetic pop-rock track in a foreign language with a syncopated bass groove and high-drive guitar rhythm.,0,0,0,0,0,0,0,0,0,1
51,54.498047,-14.11481,HipHop,"A classic hip-hop song that is energetic and enthusiastic in nature by a male rapper with compilations of synth bass, snare drum and backing vocals.",0,0,0,0,1,0,0,0,0,0
52,-58.615234,-4.485536,Rock,"Liberating rock music with distorted guitar riff, power packed male vocal, drum and bass.",1,0,0,0,0,0,0,0,0,0
53,48.38992,5.76038,Disco,"A radical hip-hop track with dubstep beats and upbeat rap, which would go really well for freestyle dance.",0,0,0,1,0,0,0,0,0,0
54,27.231693,-28.936045,Reggae,Rock music with male vocals and punchy drums. A passionate melody track with layers of synth.,0,0,0,0,0,0,0,0,1,0
55,40.26615,2.437215,Pop,"Trap music with lead rap male vocals, with groovy bass, drums, and cool synth sounds. The layered synth in the background gives an enigmatic effect.",0,0,1,0,0,0,0,0,0,0
56,-40.405975,3.8312395,Country,"Soul music with jazz drums, deep male vocals, backup vocals, some guitar and mellow bass line. Ideal for slow dance.",0,0,0,0,0,0,0,0,0,1
57,38.951996,-9.200394,HipHop,"Cool R n B music with chill vibe rap male vocal, drum beat and bass.",0,0,0,0,1,0,0,0,0,0
58,20.72939,-6.2608643,HipHop,Very soothing mind relaxing flute music accompanied by sequenced drum groove.,0,0,0,0,1,0,0,0,0,0
59,-0.22093578,-22.672321,Reggae,"Instrumental track with congo, acoustic percussion and other electronic layers has a reggae vibe.",0,0,0,0,0,0,0,0,1,0
60,-48.116344,-3.0330896,Country,"Alternative Rock track with male vocals, electric guitar lining, synth layers and a strong drum section in the background. The track sets an uplifting mood.",0,0,0,0,0,0,0,0,0,1
61,-11.37512,17.37344,Disco,"Electronically produced track accompanied by processed female vocal, evokes passion.",0,0,0,1,0,0,0,0,0,0
62,8.98909,43.58765,Reggae,A cheerful reggae track with a groovy bass line and reverberating Congo beats with husky male vocals.,0,0,0,0,0,0,0,0,1,0
63,54.616306,-19.791485,HipHop,Lively RnB hip-hop track with syncopated synth keyboard lines and upbeat drumming and jivey vocals.,0,0,0,0,1,0,0,0,0,0
64,6.0458193,-12.725096,Pop,Electronic music with a laid-back female vocal layer over a throbbing bass line and trap beats.,0,0,1,0,0,0,0,0,0,0
65,-39.861492,3.503549,Country,"Rock music with passionate male vocal, sweet sounding guitar, drum and bass. Sounds like RHCP.",0,0,0,0,0,0,0,0,0,1
66,52.353294,-8.11617,HipHop,"An Electronic Rap music that has vocals, synth, drums and bass. The song has a dynamic soundscape.",0,0,0,0,1,0,0,0,0,0
67,39.980705,-9.829528,HipHop,A hip-hop pop track with sweet bell effects and trap beats by a male artist in a monotone.,0,0,0,0,1,0,0,0,0,0
68,-52.987972,-22.204187,Rock,"Rock music with distorted guitars, drum rolls and bass sounds. The track depicts intense emotion.",1,0,0,0,0,0,0,0,0,0
69,-29.923445,-13.805402,Reggae,Rhythmic pop song featuring a nasal male lead vocal over just a simple acoustic guitar strumming in the background.,0,0,0,0,0,0,0,0,1,0
70,44.699955,6.1250386,HipHop,"A foreign rap track by multiple male rappers with mellow keyboard tunes, claps, and bass layers.",0,0,0,0,1,0,0,0,0,0
71,-33.414845,16.698832,Reggae,"Chill R n b track with laid back male vocal, drum beat and bass.",0,0,0,0,0,0,0,0,1,0
72,-19.553526,23.226187,Country,"Mixed instrumental track with drum beats, acoustic bass and wind instrument sound rhythm. Great for contemporary dancing.",0,0,0,0,0,0,0,0,0,1
73,-28.098213,-14.496373,Country,"Sedated soul music by a male artist in a foreign language, with just an acoustic guitar.",0,0,0,0,0,0,0,0,0,1
74,-17.81778,13.394207,Pop,Soulful world music with groovy drum beat and gorgeous lady vocal.,0,0,1,0,0,0,0,0,0,0
75,7.8470197,-4.109145,Disco,"A pop song with male vocals, sound effects, bass and drums. Perfect for lounge.",0,0,0,1,0,0,0,0,0,0
76,1.814212,31.797897,Pop,Afro-style electronic song with autotuned male vocals over marching drum beats.,0,0,1,0,0,0,0,0,0,0
77,-1.9000916,13.003734,Pop,A thrilling foreign pop dance song featuring a female artist with electro beats and deep bass.,0,0,1,0,0,0,0,0,0,0
78,22.183693,-18.555746,Pop,"An Electronic Rock music that has vocals and Rap, synth, drums and bass. The song is Crawling by Linkin Park that conveys a sense of longing or nostalgia.",0,0,1,0,0,0,0,0,0,0
79,52.34333,-24.94053,HipHop,Instrumental trance music featuring synth bass grooves and trippy pad layers.,0,0,0,0,1,0,0,0,0,0
80,-23.536749,-17.870481,Pop,"Beneath the surface is a song by Dream Theatre that has a soothing vocal, ambient synth and guitar layers. The song conveys a sense of longing or nostalgia.",0,0,1,0,0,0,0,0,0,0
81,46.966785,22.464743,HipHop,Pugnacious rap track in some exotic language over trap beats and thumping bass drops. The song has a harrowing effect.,0,0,0,0,1,0,0,0,0,0
82,-14.820532,-22.279627,Pop,"Rock track with female vocals, electric guitar riffs, tight bass, backing synth layers and drums. The Church Organ has a haunting sound effect.",0,0,1,0,0,0,0,0,0,0
83,1.7508825,-31.890163,Pop,EDM track with synth lines and heavy bass and techno beats that is ideal for lounge parties.,0,0,1,0,0,0,0,0,0,0
84,-37.110706,-2.8737202,Country,Pop-rock track with dynamic drumming and a wholesome strings section playing in the background.  The passionate vocals evoke a feeling of longingness.,0,0,0,0,0,0,0,0,0,1
85,53.44201,-19.68669,HipHop,"High-spirited Hip-hop rap song with male vocal layers, synth and bass lines. The beats are great for a street dance.",0,0,0,0,1,0,0,0,0,0
86,-39.88545,-4.8036227,Country,"A rock song with male vocals in a foreign language, crunchy electric guitar, bass and drums. The violin solo on the track makes it a bright and charming song.",0,0,0,0,0,0,0,0,0,1
87,3.3919215,32.703384,Pop,Afro music with a combination of tribal percussion and electro beats. The male voice is highly autotuned and sounds mechanical.,0,0,1,0,0,0,0,0,0,0
88,-0.79867065,12.47821,Pop,Electronica pop song with a slightly processed female lead vocal over a syncopated synth bass layer and other synth pad layers.,0,0,1,0,0,0,0,0,0,0
89,-65.85496,-13.999523,Metal,"Rock music with energetic male vocals, electric guitar, bass and punchy drums. Great for crowd surfing.",0,1,0,0,0,0,0,0,0,0
90,18.69198,-13.272345,Pop,Electronic pop with modulated male vocals with synth sounds and deep bass and soft beats. Great for clubs.,0,0,1,0,0,0,0,0,0,0
91,-8.430475,-10.985014,Pop,"Duet soft Pop track featuring both male and female vocals, synth layers and acoustic percussion.  Evokes an expression of love.",0,0,1,0,0,0,0,0,0,0
92,24.069736,-8.5451975,Pop,"An electronic rave party track with an intense drop bass, layers of synth and beats.",0,0,1,0,0,0,0,0,0,0
93,-16.580091,-30.394909,Country,Soulful mind refreshing music with orchestral instruments. Ideal music to meditate.,0,0,0,0,0,0,0,0,0,1
94,-52.16992,10.0886545,Country,"A piece of classic blues in a foreign language with trumpets, echo, and reverb guitar, and soft drums.",0,0,0,0,0,0,0,0,0,1
95,33.559383,16.586542,Reggae,A very stimulating hip-hop track with a lot of backing rap notes and a lead male rapper in a foreign language. Some gothic synth lines and trap beats.,0,0,0,0,0,0,0,0,1,0
96,-3.9798784,-17.131523,Pop,"Sensual RnB track by a male artist with very smooth head voice, some piano in the mix with bass drums.",0,0,1,0,0,0,0,0,0,0
97,1.7577928,-32.02938,Pop,"EDM party track with a synth pad and autotuned female vocals, is played at discos.",0,0,1,0,0,0,0,0,0,0
98,-1.9926131,-0.756259,Pop,A pop song featuring female vocals and various synth layers. The track has a passionate approach.,0,0,1,0,0,0,0,0,0,0
99,3.7045546,5.2460093,Disco,"Alternative pop track with modulated vocal, accompanied by synth layers and electronically produced music. Creates a sense of happiness and fun.",0,0,0,1,0,0,0,0,0,0
100,-33.271515,2.4362373,Country,A relaxing Rock Pop Ballad track with sweet male vocals over synth pad and guitar and drums.,0,0,0,0,0,0,0,0,0,1
101,6.4984684,36.520027,Reggae,Electro tropical music with trap beats and synth layers by a male artist.,0,0,0,0,0,0,0,0,1,0
102,41.85717,10.916923,HipHop,"Intense, rebellious rap track with aggressive male rapping over hollow drum beats.",0,0,0,0,1,0,0,0,0,0
103,52.869816,23.236614,HipHop,A male vocalist raps soulfully on this groovy hip-hop track. Creates a laid-back ambiance.,0,0,0,0,1,0,0,0,0,0
104,-72.77245,-7.918955,Rock,"An instrumental piece of rock track with a melancholy feel and soft generic tone. With drums, and a strong bass line.",1,0,0,0,0,0,0,0,0,0
105,41.86745,29.466911,HipHop,"Mid tempo hip hop music with drum , bass and rap male vocal. I deal music for late night DJ set.",0,0,0,0,1,0,0,0,0,0
106,-16.764915,20.660852,Country,Very expressive traditional music with classic male vocal in a foreign language and Arabian beats with congo.,0,0,0,0,0,0,0,0,0,1
107,-42.842865,-6.97314,Pop,"Rock music with melodious male vocals, accompanied by harmonious back vocals, synth layers, drums and electric guitar. The track sounds pleasing to hear.",0,0,1,0,0,0,0,0,0,0
108,10.272419,26.894781,Disco,"Upbeat mood lifting EDM music with bright synth tone , drum beat and male vocal.",0,0,0,1,0,0,0,0,0,0
109,41.602608,7.60141,Reggae,Trap music with multiple synth layers that gives contrast to the male foreign rapper.,0,0,0,0,0,0,0,0,1,0
110,-30.753239,7.086708,Country,"Pop music with happy sounding female vocal, vocal harmonies, synth, drum.",0,0,0,0,0,0,0,0,0,1
111,-32.599014,-2.9085054,Country,"Sweet, melodious acoustic guitar solo track. Really soothing to the ears.",0,0,0,0,0,0,0,0,0,1
112,36.9084,-20.999256,HipHop,"Hip-hop track featuring a female rapper over electronic beats, synth lines, and deep bass. Perfect for relaxation.",0,0,0,0,1,0,0,0,0,0
113,52.810455,-5.570093,HipHop,"This track has dynamic synth beats, some bass line, and a male rapper with grungy vocals and angry feel.",0,0,0,0,1,0,0,0,0,0
114,-2.257123,19.25053,Disco,Joyful pop number with male vocals over synth layers. The mix has a party effect.,0,0,0,1,0,0,0,0,0,0
115,19.751307,-7.4334397,Pop,"Hip-hop track with male rapping vocals, bass, synth and electronic beats. Great for dancing.",0,0,1,0,0,0,0,0,0,0
116,30.813005,-11.253442,HipHop,"Hip-hop with dark, psychedelic beats, male rap vocals, and synth. The song has a trance-like vibe.",0,0,0,0,1,0,0,0,0,0
117,-13.406798,4.6994243,Pop,Female vocals on a Latin pop song with accordion playing in the background and a jovial rhythmic segment. Sounds cheerful.,0,0,1,0,0,0,0,0,0,0
118,-31.45334,22.794556,Reggae,"A soothing pop song with pleasing male vocals, guitar and a melodious whistle sound.",0,0,0,0,0,0,0,0,1,0
119,2.574683,11.582206,Disco,Electronically produced track with male vocal and various synth layers. Best for pubs.,0,0,0,1,0,0,0,0,0,0
120,-8.91191,23.823341,Metal,"Spirited gypsy-style song with a exotic female vocalist singing the melody, the song has the vibe of a journey through the desert.",0,1,0,0,0,0,0,0,0,0
121,63.655643,12.001178,HipHop,"Cool R n B music with chill and groovy drum beat, subby bass, synth lead and rap male vocal.",0,0,0,0,1,0,0,0,0,0
122,32.802402,20.792915,Reggae,"Hip-hop dance music with a high energy level, synth layers and modulated male vocals. Its best for parties.",0,0,0,0,0,0,0,0,1,0
123,63.29698,5.675543,Pop,Lo- fi chill hip hop music with synth and rap male vocal.,0,0,1,0,0,0,0,0,0,0
124,12.145342,23.482141,Pop,"Enthusiastic electro pop music with high-pitched, autotuned vocals, snare hits and multiple synth pads and effects.",0,0,1,0,0,0,0,0,0,0
125,-33.818985,-7.1663003,Country,"Contemporary love ballad song with passionate duet vocals over high drive guitars, drum and bass, and a large string section.",0,0,0,0,0,0,0,0,0,1
126,-15.642893,31.9703,Rock,"Drums, guitar, and deep male vocals on reggae music. The perfect music for jiving.",1,0,0,0,0,0,0,0,0,0
127,-37.882202,-26.26799,Country,A lively pop song with clean drumming and a string section playing in the background. Best for listening while driving alone.,0,0,0,0,0,0,0,0,0,1
128,0.43514425,1.8382746,Disco,Trance pop track with modulated vocals and synth bass and beats. Great vibes for nightclubs.,0,0,0,1,0,0,0,0,0,0
129,-21.866749,-10.685008,Reggae,A female artist singing to jazzy RnB tunes of synth layer keyboard. Ideal for lounge parties.,0,0,0,0,0,0,0,0,1,0
130,27.832224,-17.955574,Reggae,Rebellious hip-hop track with electronic trap beats and impactful male vocals.,0,0,0,0,0,0,0,0,1,0
131,65.165375,2.4022832,Pop,"A very soft opening lines in piano, leading up to strong male vocals rapping. Ideal for freestyling.",0,0,1,0,0,0,0,0,0,0
132,-24.263401,-1.2235533,Country,"Soft Pop featuring romantic female vocals, piano layers and soft beats.  Sounds fresh and mellow.",0,0,0,0,0,0,0,0,0,1
133,-56.60546,-11.736645,Metal,"A simple catchy rock tune with mind refreshing male vocals, bass , guitar and drums.",0,1,0,0,0,0,0,0,0,0
134,40.191833,20.23242,HipHop,Party Hip-hop track with male vocals and backing voices and layers of synth effects with deep bass. Perfect for clubs.,0,0,0,0,1,0,0,0,0,0
135,-8.023842,-23.150217,Pop,Electro music with synth lead and drum groove Sounds like Infected Mushroom.,0,0,1,0,0,0,0,0,0,0
136,19.36453,-34.463337,Pop,"A female speaker with hip-hop music in the background, sounds like a scene in an interview.",0,0,1,0,0,0,0,0,0,0
137,-47.22956,-8.113243,Rock,"Pop rock track with male lead vocals, backing vocals, distorted guitar riffs and drum beats. The track gives a relaxing effect.",1,0,0,0,0,0,0,0,0,0
138,-59.946095,-21.172592,Rock,"Irish flute music accompanied by heavy guitar riffs, drums and bass. Ideal fusion music for driving in the highway.",1,0,0,0,0,0,0,0,0,0
139,-30.166246,-35.4096,Country,Soothing electric guitar solo over simple drum beats and groovy bass line. Great for slow dancing.,0,0,0,0,0,0,0,0,0,1
140,-10.261242,-3.520766,Pop,"Uplifting pop song with bass, drums, and soaring female vocals. Amplifies the mood.",0,0,1,0,0,0,0,0,0,0
141,13.228234,-1.2194693,Disco,Contemporary pop songs mixed with each other to make an EDM track with synth bass and drums creating a party track.,0,0,0,1,0,0,0,0,0,0
142,36.534184,-9.107797,HipHop,"Male rap vocals, multiple layers of synth, and assonance components are all incorporated in this trap music. There is a darker emotional side to it.",0,0,0,0,1,0,0,0,0,0
143,-47.29001,-8.138868,Rock,"Hard rock high energy music with grunge metal music , distorted guitar, bass and drums.",1,0,0,0,0,0,0,0,0,0
144,13.61966,24.651499,Pop,Contemporary pop song in a kiddish female voice over electro beats and synth layers.,0,0,1,0,0,0,0,0,0,0
145,-35.707737,-10.524053,Country,"Rock music featuring powerful vocals, electric and acoustic guitars, and soothing drum beats.",0,0,0,0,0,0,0,0,0,1
